customer_id,first_name,last_name,email,phone_number,shipping_address,city,state,zip_code,country,created_at,updated_at
1,Rhonda,Long,ericnolan@example.com,(619)843-3023x157,4144 Patrick Lane,Salazarburgh,RI,17821,Christmas Island,2024-06-19 01:07:10,2024-07-17 16:14:53
2,Madison,Lowery,toddcruz@example.net,240-836-1849x96976,297 Nicholson Spur,West Dana,FL,14449,Brunei Darussalam,2024-02-03 07:40:24,2024-07-04 22:28:06
3,Lawrence,Obrien,hphelps@example.org,945.340.9552,7922 Mccormick Extensions,Heatherton,CA,93491,Svalbard & Jan Mayen Islands,2024-05-13 05:50:19,2024-02-28 20:40:42
4,Christina,Hunt,jaime25@example.com,(309)718-9381,6915 Ellis Centers Suite 079,West Brandonhaven,IL,77897,Niger,2024-02-11 23:31:25,2024-03-21 09:24:46
5,Glenn,Alexander,xhansen@example.com,(585)887-8218x34848,874 Peterson Rapid Suite 755,Brockfort,MS,66166,Taiwan,2024-06-22 07:09:03,2024-03-29 04:10:53
6,Daniel,Lewis,haneyjulie@example.net,480-569-3728x496,20421 Anthony Divide Apt. 656,Port Natasha,MS,72675,Cote d'Ivoire,2024-04-08 02:23:58,2024-02-07 00:06:19
7,Ashley,Coleman,jlopez@example.net,331.555.3606x674,840 Hernandez Shoal Apt. 312,Port Megan,AL,45834,Dominica,2024-05-10 23:13:48,2024-04-18 23:59:01
8,Cynthia,Moyer,gmarquez@example.com,+1-626-790-9345x3464,153 Green Ways,Lisafort,IL,01229,Suriname,2024-02-10 07:55:10,2024-02-19 00:10:11
9,Jenny,Garcia,frenchjoseph@example.org,503.847.5146x86574,925 Guerra Road,South Tiffanymouth,WI,34565,French Polynesia,2024-03-06 03:35:45,2024-01-26 13:16:26
10,Ashley,Williams,wernerpaul@example.com,4443532923,974 Coleman Bridge Suite 448,South Laurenside,WA,78481,Ireland,2024-04-24 05:29:35,2024-03-31 17:32:25
11,Brittany,Short,ybrown@example.net,7703583586,0059 Austin Village,Juarezmouth,OH,51309,Puerto Rico,2024-02-23 08:05:18,2024-05-28 19:29:51
12,Bradley,Watson,nleonard@example.com,(934)624-4757x543,92814 Nicole Shores,Port Danielborough,NE,69869,Panama,2024-02-25 00:34:00,2024-05-27 12:03:34
