order_id,customer_id,order_date,order_status,shipping_address,billing_address,total_amount,payment_method,shipping_method,tracking_number
1,48,2024-05-27,Delivered,52914 Ewing Loop,74305 Montgomery Mountain,1050,2297295170717395,speech,6157155695491
2,58,2024-01-01,Cancelled,67944 Barton Summit Suite 232,9499 Timothy Harbors,3758,349331027517464,white,6965207292266
3,17,2024-03-24,Cancelled,366 Veronica Mission,42117 Nelson Circle,4424,2362444304100603,stand,1118260150751
4,8,2024-04-18,Pending,2021 Nancy Keys Apt. 906,4637 Elizabeth Inlet Suite 934,4446,4403852589768844,pull,1001095407421
5,7,2024-05-14,Shipped,352 Martin Mills Apt. 075,7075 Jacobs Junction Apt. 211,2942,4695717425033942,get,6270264812778
6,42,2024-07-02,Shipped,514 Owen Wells Suite 426,4926 Rose Points Suite 437,949,36196104465152,choose,1643872338407
7,18,2024-03-27,Shipped,2998 Le Glens,8742 Heather Canyon,2428,4035535081851187712,interview,3206024142604
8,23,2024-05-09,Pending,61788 Dawn Place,464 Williams Ways,3826,4561948484957121252,style,1410576752026
9,100,2024-07-20,Cancelled,7100 Erin Circles,019 Kayla Circle,3820,3509593024277802,audience,6681006316230
10,93,2024-05-23,Pending,84397 Amanda Mountains Suite 230,602 Jimmy Dale,169,4753479931069943668,again,9839450641584
11,29,2024-06-22,Pending,595 Oliver Vista Suite 927,18127 Mark Burgs,128,6011138148391727,long,8448038179046
12,98,2024-05-09,Pending,257 Katherine Path Suite 746,09503 Gomez Station,678,343588908810898,business,0934109179797
13,12,2024-07-08,Shipped,8744 Darryl Harbor Suite 470,4249 Phillips Underpass Apt. 112,4848,3537075465857298,central,3291686741395
14,22,2024-07-22,Shipped,4548 Heidi Lakes Apt. 617,953 Justin Stream Apt. 615,1236,378956081158732,treat,9961179525194
15,48,2024-06-14,Cancelled,1218 Murray Mission,207 Jones Isle Suite 272,378,378769211124007,fight,6598571949223
16,66,2024-04-19,Delivered,65315 Jones Viaduct,601 Murphy Gardens Suite 993,3105,3580621149149291,who,8468192019323
17,50,2024-07-02,Delivered,6743 Fleming Lock,5502 Rodriguez Street Apt. 123,2388,639016439353,end,6732250127889
18,67,2024-03-01,Cancelled,8531 Carlos Stream Apt. 479,8456 Joseph Ville,1107,4417225921377490287,seek,6909088726960
19,65,2024-07-18,Delivered,3325 Ryan Bridge Apt. 330,870 Vincent Circles Apt. 831,796,503865133444,cover,1708755007495
20,96,2024-02-04,Cancelled,66766 Mcbride Lane Suite 601,4965 Reginald Creek Apt. 677,4593,3594293524347686,believe,6171643976220
21,56,2024-03-14,Cancelled,98505 Reynolds Ports,889 Robert Garden,888,6011996449310971,energy,6858925388994
22,87,2024-05-24,Delivered,28313 Sean Green,19534 Randy Stravenue Apt. 530,3025,3500509561934885,maybe,9364547777490
23,76,2024-05-03,Delivered,8472 Richard Path,57630 William Estates,1663,570475796241,million,5520144172951
24,49,2024-03-09,Delivered,0442 Eric Summit,9084 Christine Stravenue,2542,4741120740522,future,0298981121603
25,51,2024-04-08,Shipped,083 Richardson Gardens,0006 Katherine Curve,1447,30555129932718,something,6942755453912
26,3,2024-05-18,Shipped,28744 Courtney Ranch Suite 195,9769 Smith Rapid Suite 998,1586,30078980624886,growth,9272870715136
27,28,2024-06-17,Pending,7445 Campos Mountain,8629 Watkins Curve,4381,4304033804558985,speak,1082731686424
28,43,2024-01-22,Cancelled,0891 Hebert Stream,3796 Michael Highway Suite 558,2132,30343459933576,deal,4878119574721
29,65,2024-06-25,Cancelled,31137 Chen Divide Suite 346,13810 Keller Flats Apt. 031,2434,30588900324417,describe,5349704485641
30,38,2024-04-20,Cancelled,38453 Stevens Wells Apt. 545,841 King Pass,2420,370774020112969,large,9394519115722
31,68,2024-04-17,Cancelled,09537 Donald Ferry Suite 360,6894 Brittney Mission,2788,3582419048039723,design,1988731723018
32,99,2024-03-31,Delivered,914 Charles Knolls,564 Christian Stream Suite 901,4261,575127527498,write,7072956932547
33,7,2024-06-22,Delivered,824 Elliott Expressway Apt. 711,82059 Julie Spurs,1589,180000056891395,until,5671395512222
34,98,2024-07-14,Shipped,77233 Crystal Walk Suite 077,85815 Rachel Tunnel,1139,4319329425438124110,college,3629827015461
35,36,2024-07-13,Shipped,705 Kelly Stream,37113 Crystal Cape Suite 224,641,4138821853984470,down,9569128346915
36,17,2024-01-09,Pending,36517 Ford Lodge Apt. 981,283 Anna Mission,4324,6011566022590248,customer,8449211772733
37,41,2024-01-26,Delivered,474 Green Harbor Suite 420,81846 Middleton Avenue,3665,2350514846192633,as,9536112243918
38,67,2024-03-19,Shipped,1110 Miller Turnpike Suite 772,467 Andrea Fords,4337,374227313827567,million,7275706573049
39,28,2024-02-03,Cancelled,938 Christina Court,9803 Ian Cliff Suite 345,30,3510094867736993,ten,0504395497204
40,9,2024-06-24,Pending,49681 Debbie Prairie,735 Adams Mission,2608,4088432676813161789,under,8394457410287
41,72,2024-03-18,Delivered,8423 Rebecca Land,4874 Ortiz Lodge Apt. 381,4808,180038927543092,add,0549946030837
42,36,2024-06-26,Cancelled,736 Morris Points,49375 Tony Mission,4538,4598560275080308074,support,9255433079197
43,84,2024-07-04,Pending,762 Martinez Plain,94589 Chen Bridge,4050,5455465034662241,go,7161772537507
44,38,2024-06-05,Delivered,56974 Wendy Drives Suite 403,634 Brett Forks Suite 503,1159,3574295582919474,though,7873236014324
45,64,2024-06-02,Pending,63242 Rachel Lakes,71768 Taylor Parks Suite 612,1659,180036804978571,score,5132338126307
46,93,2024-07-13,Delivered,43481 Perez Points,3346 Taylor Ridge,729,4534882530383833,central,0327677611873
47,100,2024-05-14,Shipped,7511 Ryan Cape,2109 Thomas Knoll,2553,213114104841483,act,7285295336895
48,54,2024-02-20,Delivered,71282 Tina Wall Apt. 724,320 Paul Burg,140,4328844518382,type,5926243221314
49,38,2024-05-29,Delivered,578 Charles Trail,28681 Payne Extension Suite 495,4382,4118463874070569,hit,0539698108717
50,85,2024-01-23,Delivered,598 Luke Estates,0605 William Mill Suite 406,4220,2252613413234379,our,3664079060890
51,12,2024-04-04,Pending,5726 Emily Parks Apt. 250,1847 Jerry Park Apt. 764,2379,6011630611138528,or,9638471162319
52,64,2024-04-30,Shipped,6301 Lane Gardens,99080 Kayla Mission Apt. 284,747,379228042548362,family,1834574697934
53,3,2024-04-20,Pending,206 Bates Dam Suite 208,70623 Yang Shoal,3957,503882089645,explain,3066871632488
